127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-05-06 12:09:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:09:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:09:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:09:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-05-06 12:15:56, POST, /admin/default/create_file, HTTP/1.1, 303, 0.103000
127.0.0.1, 2018-05-06 12:15:56, GET, /admin/default/design/Tafari, HTTP/1.1, 200, 0.447000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.092000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:05, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:06, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:16:07, GET, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.190000
127.0.0.1, 2018-05-06 12:16:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.195000
127.0.0.1, 2018-05-06 12:16:07, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:16:08, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.896000
127.0.0.1, 2018-05-06 12:16:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.980000
127.0.0.1, 2018-05-06 12:16:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.941000
127.0.0.1, 2018-05-06 12:16:10, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 3.140000
127.0.0.1, 2018-05-06 12:17:05, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-05-06 12:17:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.204000
127.0.0.1, 2018-05-06 12:17:11, GET, /admin/default/design/Tafari, HTTP/1.1, 200, 0.577000
127.0.0.1, 2018-05-06 12:17:12, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 4.534000
127.0.0.1, 2018-05-06 12:18:13, POST, /admin/default/create_file, HTTP/1.1, 303, 0.141000
127.0.0.1, 2018-05-06 12:18:13, GET, /admin/default/design/Tafari, HTTP/1.1, 200, 0.310000
127.0.0.1, 2018-05-06 12:18:18, GET, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-05-06 12:18:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.078000
127.0.0.1, 2018-05-06 12:18:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.304000
127.0.0.1, 2018-05-06 12:18:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.557000
127.0.0.1, 2018-05-06 12:18:20, GET, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.320000
127.0.0.1, 2018-05-06 12:18:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.151000
127.0.0.1, 2018-05-06 12:18:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 4.423000
127.0.0.1, 2018-05-06 12:18:39, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.997000
127.0.0.1, 2018-05-06 12:19:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-05-06 12:19:23, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 3.176000
127.0.0.1, 2018-05-06 12:19:25, POST, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.259000
127.0.0.1, 2018-05-06 12:19:30, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.709000
127.0.0.1, 2018-05-06 12:20:06, POST, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.070000
127.0.0.1, 2018-05-06 12:20:09, GET, /admin/default/design/Tafari, HTTP/1.1, 200, 0.643000
127.0.0.1, 2018-05-06 12:20:13, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.139000
127.0.0.1, 2018-05-06 12:20:20, GET, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-05-06 12:20:21, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.319000
127.0.0.1, 2018-05-06 12:20:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.575000
127.0.0.1, 2018-05-06 12:20:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.718000
127.0.0.1, 2018-05-06 12:20:23, GET, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.739000
127.0.0.1, 2018-05-06 12:20:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.076000
